cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
higherEducation,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/education/higherEducation/higherEducation.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,createdOn,Created On,Date and time when the unit was created.,means.measurement.date|means.measurement.time|means.measurement.date.creation,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,higher_education,account,created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:creation
higherEducation,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/education/higherEducation/higherEducation.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,createdBy,Created By,Shows who created the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,higher_education,account,created_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
higherEducation,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/education/higherEducation/higherEducation.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,modifiedOn,Modified On,Date and time when the unit was last modified.,means.measurement.date|means.measurement.time|means.measurement.date.modify,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,higher_education,account,modified_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:modify
higherEducation,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/education/higherEducation/higherEducation.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,modifiedBy,Modified By,Shows who last updated the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,higher_education,account,modified_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
higherEducation,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/education/higherEducation/higherEducation.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,createdOnBehalfBy,Created By (Delegate),Shows who created the record on behalf of another user.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,higher_education,account,created_on_behalf_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
higherEducation,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/education/higherEducation/higherEducation.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,modifiedOnBehalfBy,Modified By (Delegate),Shows who last updated the record on behalf of another user.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,higher_education,account,modified_on_behalf_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
higherEducation,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/education/higherEducation/higherEducation.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,overriddenCreatedOn,Record Created On,Date and time that the record was migrated.,means.measurement.date|means.measurement.time|means.measurement.date.creation,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,higher_education,account,overridden_created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:creation
higherEducation,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/education/higherEducation/higherEducation.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,importSequenceNumber,Import Sequence Number,Sequence number of the import that created this record.,,int32,CdmDataFormat.INT32,False,,False,,,,,higher_education,account,import_sequence_number,,,,INT,INTEGER,INT64,Int32,
higherEducation,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/education/higherEducation/higherEducation.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,ownerId,Owner,Owner Id,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,higher_education,account,owner_id,soa_clienteling,user,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
higherEducation,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/education/higherEducation/higherEducation.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,ownerIdType,Owner Type,"The type of owner, either User or Team.",means.entityName,string,CdmDataFormat.STRING,False,,False,,,,,higher_education,account,owner_id_type,,,,STRING,VARCHAR,STRING,object,category:entityName|role:dimension
